TreeID,LegalStatus,Species,Address,SiteOrder,SiteInfo,Caretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
59363,Permitted Site,Tree(s) ::,342 Sussex St,1,Sidewalk: Curb side : Cutout,Private,1980-11-24,NA,NA,37.7372122745078,-122.4387162705952
53927,Permitted Site,Magnolia spp :: Magnolia,616-618 Diamond St,1,Sidewalk: Curb side : Cutout,Private,1972-03-24,NA,NA,37.75260745025695,-122.43652973358547
93196,Permitted Site,Tree(s) ::,1223 24th Ave,1,Sidewalk: Property side : Yard,Private,2010-02-19,NA,NA,37.764695390778606,-122.48271722616369
184959,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2000 41st Ave,17,Sidewalk: Curb side : Cutout,Private,2019-12-14,3,3x10,37.749418598956225,-122.49971208795628
5285,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1363 Divisadero St,3,Sidewalk: Curb side : Cutout,DPW,NA,18,3X3,37.78219907593688,-122.43934404833767
201405,DPW Maintained,Eucalyptus sideroxylon :: Red Ironbark,1051 Ingalls St,17,Sidewalk: Curb side : Cutout,Private,NA,16,Width 3ft,37.7326201840683,-122.37974999057823
248487,DPW Maintained,Olea europaea :: Olive Tree,151 Belvedere St,1,Sidewalk: Curb side : Cutout,Private,NA,3,Width 0ft,37.76777747687471,-122.4493382731788
260397,DPW Maintained,Ulmus parvifolia :: Chinese Elm,1x Thornton Ave,2,Sidewalk: Curb side : Cutout,DPW,2018-10-20,3,NA,NA,NA
117390,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1650 Jackson St,4,Sidewalk: Curb side : Cutout,Private,NA,11,3x3,37.79409925293026,-122.42223360700063
33130,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Pierce St,2,Sidewalk: Curb side : Cutout,Private,1996-11-05,6,NA,37.79687593044674,-122.43873839237044
29603,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,910X Junipero Serra Blvd,12,Median : Cutout,DPW,2013-03-09,3,3X3,37.72126685089588,-122.472545111236
84256,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,530 25th Ave,1,Sidewalk: Curb side : Cutout,Private,2008-10-08,2,3x3,37.77942710490677,-122.48459052443152
47011,Permitted Site,Corymbia ficifolia :: Red Flowering Gum,190 Hermann St,3,Sidewalk: Curb side : Cutout,Private,2002-05-02,NA,NA,37.77054450570025,-122.42826473299196
115053,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1280 Pine St,1,Sidewalk: Curb side : Cutout,Private,2016-01-06,1,NA,37.79015799473368,-122.41685060786668
29521,DPW Maintained,Tristania conferta ::,2000X Ingalls St,4,Sidewalk: Curb side : Cutout,DPW,2006-02-28,8,3X3,37.72641549298283,-122.3865343204434
199519,DPW Maintained,Yucca gloriosa :: Spanish Dagger,575 San Bruno Ave,1,Sidewalk: Curb side : Yard,Private,NA,7,Width 4ft,37.76244445056975,-122.40516736407515
38075,Permitted Site,Dodonaea viscosa :: Hop Bush,2501 Sutter St,8,Sidewalk: Curb side : Cutout,Private,1999-06-04,NA,NA,37.78469676545316,-122.44157275542744
100730,Undocumented,Platanus x hispanica :: Sycamore: London Plane,1445X Harrison St,10,Sidewalk: Curb side : Cutout,Private,NA,6,3x3,37.77111073195315,-122.41177238365054
98885,DPW Maintained,Olea europaea :: Olive Tree,200X Farallones St,9,Sidewalk: Curb side : Cutout,SFUSD,NA,3,3x3,37.71447623881068,-122.45962924167256
69388,Permitted Site,Magnolia grandiflora :: Southern Magnolia,300X Laguna St,1,Sidewalk: Curb side : Cutout,Private,2001-11-03,NA,NA,37.77371670852478,-122.42573038361068
